op,shape,time,valid,count
reduce_sum,"(1,2)",4.0,599,"(599, 599)"
reduce_sum,"(1,4)",4.0,597,"(597, 597)"
reduce_sum,"(2,2)",4.0,596,"(596, 596)"
reduce_nansum,"(1,2)",4.0,596,"(596, 596)"
reduce_nansum,"(1,4)",4.0,598,"(598, 598)"
reduce_nansum,"(2,2)",4.0,594,"(594, 594)"
reduce_all,"(1,2)",4.0,600,"(600, 600)"
reduce_all,"(1,4)",4.0,603,"(603, 603)"
reduce_all,"(2,2)",4.0,593,"(593, 593)"
reduce_any,"(1,2)",4.0,603,"(603, 603)"
reduce_any,"(1,4)",4.0,599,"(599, 599)"
reduce_any,"(2,2)",4.0,594,"(594, 594)"
reduce_prod,"(1,2)",4.0,601,"(601, 601)"
reduce_prod,"(1,4)",4.0,599,"(599, 599)"
reduce_prod,"(2,2)",4.0,593,"(593, 593)"
reduce_max,"(1,2)",4.0,602,"(602, 602)"
reduce_max,"(1,4)",4.0,602,"(602, 602)"
reduce_max,"(2,2)",4.0,599,"(599, 599)"
reduce_min,"(1,2)",4.0,602,"(602, 602)"
reduce_min,"(1,4)",4.0,603,"(603, 603)"
reduce_min,"(2,2)",4.0,603,"(603, 603)"
