op,shape,time,valid,count
add_n,"(1,), (1,)",4.0,593,"(593, 593)"
add_n,"(2,), (2,)",4.0,593,"(593, 593)"
add_n,"(4,), (4,)",4.0,591,"(591, 591)"
add_n,"(8,), (8,)",4.0,592,"(592, 592)"
add_n,"(16,), (16,)",4.0,596,"(596, 596)"
add_n,"(32,), (32,)",4.0,597,"(597, 597)"
add_n,"(64,), (64,)",4.0,592,"(592, 592)"
add_n,"(128,), (128,)",4.0,594,"(594, 594)"
add_n,"(256,), (256,)",4.0,599,"(599, 599)"
add_n,"(512,), (512,)",4.0,599,"(599, 599)"
add_n,"(1024,), (1024,)",4.0,594,"(594, 594)"
add_n,"(2048,), (2048,)",4.0,593,"(593, 593)"
add_n,"(4096,), (4096,)",4.0,595,"(595, 595)"
add_n,"(8192,), (8192,)",4.0,603,"(603, 603)"
add_n,"(16384,), (16384,)",4.0,601,"(601, 601)"
add_n,"(32768,), (32768,)",4.0,599,"(599, 599)"
add_n,"(65536,), (65536,)",4.0,594,"(594, 594)"
add_n,"(131072,), (131072,)",6.0,603,"(603, 603)"
add_n,"(262144,), (262144,)",6.0,602,"(602, 602)"
add_n,"(524288,), (524288,)",10.0,601,"(601, 601)"
add_n,"(1048576,), (1048576,)",33.7,596,"(596, 596)"
add_n,"(2097152,), (2097152,)",64.0,595,"(595, 595)"
add_n,"(4194304,), (4194304,)",124.0,597,"(597, 597)"
add_n,"(8388608,), (8388608,)",242.1,601,"(601, 601)"
add_n,"(16777216,), (16777216,)",478.4,592,"(592, 592)"
add_n,"(33554432,), (33554432,)",951.5,599,"(599, 599)"
add_n,"(67108864,), (67108864,)",1899.7,598,"(598, 598)"
add_n,"(134217728,), (134217728,)",3797.6,595,"(595, 595)"
add_n,"(268435456,), (268435456,)",7609.2,597,"(597, 597)"
add_n,"(536870912,), (536870912,)",15260.6,602,"(602, 602)"
broadcast_add,"(2,1), (1,1)",4.0,596,"(596, 596)"
broadcast_add,"(4,1), (1,1)",4.0,588,"(588, 588)"
broadcast_add,"(8,1), (1,1)",4.0,592,"(592, 592)"
broadcast_add,"(16,1), (1,1)",4.0,592,"(592, 592)"
broadcast_add,"(32,1), (1,1)",4.0,591,"(591, 591)"
broadcast_add,"(64,1), (1,1)",4.0,592,"(592, 592)"
broadcast_add,"(128,1), (1,1)",4.0,586,"(586, 586)"
broadcast_add,"(256,1), (1,1)",4.0,599,"(599, 599)"
broadcast_add,"(512,1), (1,1)",4.0,593,"(593, 593)"
broadcast_add,"(1024,1), (1,1)",4.0,593,"(593, 593)"
broadcast_add,"(2048,1), (1,1)",4.0,598,"(598, 598)"
broadcast_add,"(4096,1), (1,1)",4.0,606,"(606, 606)"
broadcast_add,"(8192,1), (1,1)",4.0,592,"(592, 592)"
broadcast_add,"(16384,1), (1,1)",4.0,591,"(591, 591)"
broadcast_add,"(32768,1), (1,1)",4.0,598,"(598, 598)"
broadcast_add,"(65536,1), (1,1)",4.0,590,"(590, 590)"
broadcast_add,"(131072,1), (1,1)",4.0,599,"(599, 599)"
broadcast_add,"(262144,1), (1,1)",6.0,586,"(586, 586)"
broadcast_add,"(524288,1), (1,1)",6.0,595,"(595, 595)"
broadcast_add,"(1048576,1), (1,1)",20.0,599,"(599, 599)"
broadcast_add,"(2097152,1), (1,1)",44.2,596,"(596, 596)"
broadcast_add,"(4194304,1), (1,1)",85.4,590,"(590, 590)"
broadcast_add,"(8388608,1), (1,1)",164.1,595,"(595, 595)"
broadcast_add,"(16777216,1), (1,1)",323.6,591,"(591, 591)"
broadcast_add,"(33554432,1), (1,1)",640.2,597,"(597, 597)"
broadcast_add,"(67108864,1), (1,1)",1273.7,593,"(593, 593)"
broadcast_add,"(134217728,1), (1,1)",2541.1,592,"(592, 592)"
broadcast_add,"(268435456,1), (1,1)",5086.1,600,"(600, 600)"
broadcast_add,"(536870912,1), (1,1)",10191.9,598,"(598, 598)"
broadcast_add,"(2,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(4,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(8,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(16,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(32,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(64,2), (1,2)",4.0,600,"(600, 600)"
broadcast_add,"(128,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(256,2), (1,2)",4.0,600,"(600, 600)"
broadcast_add,"(512,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(1024,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(2048,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(4096,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(8192,2), (1,2)",4.0,600,"(600, 600)"
broadcast_add,"(16384,2), (1,2)",4.0,602,"(602, 602)"
broadcast_add,"(32768,2), (1,2)",6.0,600,"(600, 600)"
broadcast_add,"(65536,2), (1,2)",8.0,602,"(602, 602)"
broadcast_add,"(131072,2), (1,2)",10.0,602,"(602, 602)"
broadcast_add,"(262144,2), (1,2)",15.4,602,"(602, 602)"
broadcast_add,"(524288,2), (1,2)",30.0,602,"(602, 602)"
broadcast_add,"(1048576,2), (1,2)",54.0,602,"(602, 602)"
broadcast_add,"(2097152,2), (1,2)",102.0,602,"(602, 602)"
broadcast_add,"(4194304,2), (1,2)",180.0,602,"(602, 602)"
broadcast_add,"(8388608,2), (1,2)",339.1,602,"(602, 602)"
broadcast_add,"(16777216,2), (1,2)",660.0,602,"(602, 602)"
broadcast_add,"(33554432,2), (1,2)",1310.7,602,"(602, 602)"
broadcast_add,"(67108864,2), (1,2)",2696.0,600,"(600, 600)"
broadcast_add,"(134217728,2), (1,2)",5317.1,602,"(602, 602)"
broadcast_add,"(268435456,2), (1,2)",10508.2,602,"(602, 602)"
broadcast_add,"(2,4), (1,4)",4.0,600,"(600, 600)"
broadcast_add,"(4,4), (1,4)",4.0,602,"(602, 602)"
broadcast_add,"(8,4), (1,4)",4.0,600,"(600, 600)"
broadcast_add,"(16,4), (1,4)",4.0,602,"(602, 602)"
broadcast_add,"(32,4), (1,4)",4.0,602,"(602, 602)"
broadcast_add,"(64,4), (1,4)",4.0,600,"(600, 600)"
broadcast_add,"(128,4), (1,4)",4.0,602,"(602, 602)"
broadcast_add,"(256,4), (1,4)",4.0,602,"(602, 602)"
broadcast_add,"(512,4), (1,4)",4.0,602,"(602, 602)"
broadcast_add,"(1024,4), (1,4)",4.0,602,"(602, 602)"
broadcast_add,"(2048,4), (1,4)",4.0,602,"(602, 602)"
broadcast_add,"(4096,4), (1,4)",4.0,600,"(600, 600)"
broadcast_add,"(8192,4), (1,4)",4.0,602,"(602, 602)"
broadcast_add,"(16384,4), (1,4)",6.0,602,"(602, 602)"
broadcast_add,"(32768,4), (1,4)",6.0,602,"(602, 602)"
broadcast_add,"(65536,4), (1,4)",6.0,600,"(600, 600)"
broadcast_add,"(131072,4), (1,4)",8.0,600,"(600, 600)"
broadcast_add,"(262144,4), (1,4)",21.9,602,"(602, 602)"
broadcast_add,"(524288,4), (1,4)",46.0,602,"(602, 602)"
broadcast_add,"(1048576,4), (1,4)",86.0,600,"(600, 600)"
broadcast_add,"(2097152,4), (1,4)",166.0,600,"(600, 600)"
broadcast_add,"(4194304,4), (1,4)",324.3,602,"(602, 602)"
broadcast_add,"(8388608,4), (1,4)",641.7,602,"(602, 602)"
broadcast_add,"(16777216,4), (1,4)",1275.1,602,"(602, 602)"
broadcast_add,"(33554432,4), (1,4)",2547.0,602,"(602, 602)"
broadcast_add,"(67108864,4), (1,4)",5095.4,602,"(602, 602)"
broadcast_add,"(134217728,4), (1,4)",10326.6,602,"(602, 602)"
broadcast_add,"(2,8), (1,8)",4.0,600,"(600, 600)"
broadcast_add,"(4,8), (1,8)",4.0,602,"(602, 602)"
broadcast_add,"(8,8), (1,8)",4.0,602,"(602, 602)"
broadcast_add,"(16,8), (1,8)",4.0,602,"(602, 602)"
broadcast_add,"(32,8), (1,8)",4.0,602,"(602, 602)"
broadcast_add,"(64,8), (1,8)",4.0,602,"(602, 602)"
broadcast_add,"(128,8), (1,8)",4.0,602,"(602, 602)"
broadcast_add,"(256,8), (1,8)",4.0,600,"(600, 600)"
broadcast_add,"(512,8), (1,8)",4.0,602,"(602, 602)"
broadcast_add,"(1024,8), (1,8)",4.0,600,"(600, 600)"
broadcast_add,"(2048,8), (1,8)",4.0,600,"(600, 600)"
broadcast_add,"(4096,8), (1,8)",4.0,602,"(602, 602)"
broadcast_add,"(8192,8), (1,8)",6.0,602,"(602, 602)"
broadcast_add,"(16384,8), (1,8)",6.0,602,"(602, 602)"
broadcast_add,"(32768,8), (1,8)",6.0,602,"(602, 602)"
broadcast_add,"(65536,8), (1,8)",8.0,602,"(602, 602)"
broadcast_add,"(131072,8), (1,8)",21.9,602,"(602, 602)"
broadcast_add,"(262144,8), (1,8)",46.0,600,"(600, 600)"
broadcast_add,"(524288,8), (1,8)",86.0,602,"(602, 602)"
broadcast_add,"(1048576,8), (1,8)",166.0,600,"(600, 600)"
broadcast_add,"(2097152,8), (1,8)",324.2,602,"(602, 602)"
broadcast_add,"(4194304,8), (1,8)",641.5,602,"(602, 602)"
broadcast_add,"(8388608,8), (1,8)",1275.2,602,"(602, 602)"
broadcast_add,"(16777216,8), (1,8)",2547.0,602,"(602, 602)"
broadcast_add,"(33554432,8), (1,8)",5095.6,602,"(602, 602)"
broadcast_add,"(67108864,8), (1,8)",10328.4,602,"(602, 602)"
broadcast_add,"(2,16), (1,16)",4.0,602,"(602, 602)"
broadcast_add,"(4,16), (1,16)",4.0,602,"(602, 602)"
broadcast_add,"(8,16), (1,16)",4.0,602,"(602, 602)"
