op,shape,time,valid,count
matmul,"(8,1), (1,4096)",4.0,601,"(601, 601)"
matmul,"(8,1), (1,8192)",4.0,602,"(602, 602)"
matmul,"(8,1), (1,16384)",6.0,604,"(604, 604)"
matmul,"(8,1), (1,32768)",8.0,604,"(604, 604)"
matmul,"(8,1), (1,65536)",10.0,602,"(602, 602)"
matmul,"(8,1), (1,131072)",16.0,604,"(604, 604)"
matmul,"(8,1), (1,262144)",36.8,602,"(602, 602)"
matmul,"(8,1), (1,524288)",68.7,604,"(604, 604)"
matmul,"(8,1), (1,1048576)",138.0,574,"(1148, 574)"
matmul,"(8,1), (1,2097152)",269.6,544,"(1632, 544)"
matmul,"(8,1), (1,4194304)",511.8,526,"(2630, 526)"
matmul,"(8,1), (1,8388608)",997.1,574,"(5166, 574)"
matmul,"(8,1), (1,16777216)",1997.6,584,"(9928, 584)"
matmul,"(8,1), (1,33554432)",3999.0,591,"(19503, 591)"
matmul,"(8,1), (1,67108864)",8029.1,589,"(38285, 589)"
matmul,"(16,1), (1,1)",4.0,602,"(602, 602)"
matmul,"(16,1), (1,2)",4.0,602,"(602, 602)"
matmul,"(16,1), (1,4)",4.0,600,"(600, 600)"
matmul,"(16,1), (1,8)",4.0,606,"(606, 606)"
matmul,"(16,1), (1,16)",4.0,602,"(602, 602)"
matmul,"(16,1), (1,32)",4.0,602,"(602, 602)"
matmul,"(16,1), (1,64)",4.0,603,"(603, 603)"
matmul,"(16,1), (1,128)",4.0,604,"(604, 604)"
matmul,"(16,1), (1,256)",4.0,602,"(602, 602)"
matmul,"(16,1), (1,512)",4.0,604,"(604, 604)"
matmul,"(16,1), (1,1024)",4.0,606,"(606, 606)"
matmul,"(16,1), (1,2048)",4.0,604,"(604, 604)"
matmul,"(16,1), (1,4096)",4.0,606,"(606, 606)"
matmul,"(16,1), (1,8192)",4.0,604,"(604, 604)"
matmul,"(16,1), (1,16384)",6.0,604,"(604, 604)"
matmul,"(16,1), (1,32768)",8.0,606,"(606, 606)"
matmul,"(16,1), (1,65536)",12.0,606,"(606, 606)"
matmul,"(16,1), (1,131072)",28.0,602,"(602, 602)"
matmul,"(16,1), (1,262144)",64.0,602,"(602, 602)"
matmul,"(16,1), (1,524288)",122.0,597,"(597, 597)"
matmul,"(16,1), (1,1048576)",247.4,578,"(578, 578, 578)"
matmul,"(16,1), (1,2097152)",484.5,577,"(1154, 577, 577)"
matmul,"(16,1), (1,4194304)",963.2,535,"(2140, 535, 535)"
matmul,"(16,1), (1,8388608)",1921.2,564,"(4512, 564, 564)"
matmul,"(16,1), (1,16777216)",3858.7,576,"(9216, 576, 576)"
matmul,"(16,1), (1,33554432)",7751.1,583,"(18656, 583, 583)"
matmul,"(32,1), (1,1)",4.0,603,"(603, 603)"
matmul,"(32,1), (1,2)",4.0,598,"(598, 598)"
matmul,"(32,1), (1,4)",4.0,602,"(602, 602)"
matmul,"(32,1), (1,8)",4.0,604,"(604, 604)"
matmul,"(32,1), (1,16)",4.0,604,"(604, 604)"
matmul,"(32,1), (1,32)",4.0,603,"(603, 603)"
matmul,"(32,1), (1,64)",4.0,608,"(608, 608)"
matmul,"(32,1), (1,128)",4.0,602,"(602, 602)"
matmul,"(32,1), (1,256)",4.0,604,"(604, 604)"
matmul,"(32,1), (1,512)",4.0,604,"(604, 604)"
matmul,"(32,1), (1,1024)",4.0,606,"(606, 606)"
matmul,"(32,1), (1,2048)",4.0,606,"(606, 606)"
matmul,"(32,1), (1,4096)",4.0,604,"(604, 604)"
matmul,"(32,1), (1,8192)",6.0,604,"(604, 604)"
matmul,"(32,1), (1,16384)",8.0,606,"(606, 606)"
matmul,"(32,1), (1,32768)",10.0,606,"(606, 606)"
matmul,"(32,1), (1,65536)",26.0,598,"(598, 598)"
matmul,"(32,1), (1,131072)",54.0,601,"(601, 601)"
matmul,"(32,1), (1,262144)",94.0,600,"(600, 600)"
matmul,"(32,1), (1,524288)",184.0,600,"(600, 600)"
matmul,"(32,1), (1,1048576)",358.9,568,"(568, 568, 568)"
matmul,"(32,1), (1,2097152)",717.3,567,"(1134, 567, 567)"
matmul,"(32,1), (1,4194304)",1435.7,546,"(2184, 546, 546)"
matmul,"(32,1), (1,8388608)",2860.9,555,"(4440, 555, 555)"
matmul,"(32,1), (1,16777216)",5705.5,576,"(9216, 576, 576)"
matmul,"(64,1), (1,1)",4.0,604,"(604, 604)"
matmul,"(64,1), (1,2)",4.0,604,"(604, 604)"
matmul,"(64,1), (1,4)",4.0,602,"(602, 602)"
matmul,"(64,1), (1,8)",4.0,604,"(604, 604)"
matmul,"(64,1), (1,16)",4.0,604,"(604, 604)"
matmul,"(64,1), (1,32)",4.0,604,"(604, 604)"
matmul,"(64,1), (1,64)",4.0,605,"(605, 605)"
matmul,"(64,1), (1,128)",4.0,604,"(604, 604)"
matmul,"(64,1), (1,256)",4.0,603,"(603, 603)"
matmul,"(64,1), (1,512)",4.0,606,"(606, 606)"
matmul,"(64,1), (1,1024)",4.0,606,"(606, 606)"
matmul,"(64,1), (1,2048)",6.0,608,"(608, 608)"
matmul,"(64,1), (1,4096)",6.0,604,"(604, 604)"
matmul,"(64,1), (1,8192)",8.0,606,"(606, 606)"
matmul,"(64,1), (1,16384)",10.0,608,"(608, 608)"
matmul,"(64,1), (1,32768)",26.0,596,"(596, 596)"
matmul,"(64,1), (1,65536)",46.0,598,"(598, 598)"
matmul,"(64,1), (1,131072)",86.0,601,"(601, 601)"
matmul,"(64,1), (1,262144)",172.0,598,"(598, 598)"
matmul,"(64,1), (1,524288)",336.0,599,"(599, 599)"
matmul,"(64,1), (1,1048576)",668.9,568,"(568, 568, 568)"
matmul,"(64,1), (1,2097152)",1335.9,553,"(1106, 553, 553)"
matmul,"(64,1), (1,4194304)",2665.2,533,"(2132, 533, 533)"
matmul,"(64,1), (1,8388608)",5322.1,548,"(4384, 548, 548)"
matmul,"(128,1), (1,1)",4.0,602,"(602, 602)"
matmul,"(128,1), (1,2)",4.0,606,"(606, 606)"
matmul,"(128,1), (1,4)",4.0,604,"(604, 604)"
matmul,"(128,1), (1,8)",4.0,604,"(604, 604)"
matmul,"(128,1), (1,16)",4.0,604,"(604, 604)"
matmul,"(128,1), (1,32)",4.0,604,"(604, 604)"
matmul,"(128,1), (1,64)",4.0,606,"(606, 606)"
matmul,"(128,1), (1,128)",4.0,604,"(604, 604)"
matmul,"(128,1), (1,256)",4.0,604,"(604, 604)"
matmul,"(128,1), (1,512)",4.0,604,"(604, 604)"
matmul,"(128,1), (1,1024)",4.0,606,"(606, 606)"
matmul,"(128,1), (1,2048)",6.0,604,"(604, 604)"
matmul,"(128,1), (1,4096)",7.8,602,"(602, 602)"
matmul,"(128,1), (1,8192)",10.0,606,"(606, 606)"
matmul,"(128,1), (1,16384)",26.0,602,"(602, 602)"
matmul,"(128,1), (1,32768)",46.0,600,"(600, 600)"
matmul,"(128,1), (1,65536)",84.0,597,"(597, 597)"
matmul,"(128,1), (1,131072)",160.0,599,"(599, 599)"
matmul,"(128,1), (1,262144)",311.7,595,"(595, 595)"
matmul,"(128,1), (1,524288)",656.0,596,"(596, 596)"
matmul,"(128,1), (1,1048576)",1287.4,556,"(556, 556, 556)"
matmul,"(128,1), (1,2097152)",2584.7,539,"(1078, 539, 539)"
matmul,"(128,1), (1,4194304)",5196.0,558,"(2232, 558, 558)"
matmul,"(256,1), (1,1)",4.0,608,"(608, 608)"
matmul,"(256,1), (1,2)",4.0,606,"(606, 606)"
matmul,"(256,1), (1,4)",4.0,606,"(606, 606)"
matmul,"(256,1), (1,8)",4.0,606,"(606, 606)"
matmul,"(256,1), (1,16)",4.0,608,"(608, 608)"
matmul,"(256,1), (1,32)",4.0,606,"(606, 606)"
matmul,"(256,1), (1,64)",4.0,604,"(604, 604)"
matmul,"(256,1), (1,128)",4.0,604,"(604, 604)"
matmul,"(256,1), (1,256)",4.0,604,"(604, 604)"
matmul,"(256,1), (1,512)",4.0,604,"(604, 604)"
matmul,"(256,1), (1,1024)",6.0,606,"(606, 606)"
matmul,"(256,1), (1,2048)",7.0,604,"(604, 604)"
matmul,"(256,1), (1,4096)",10.0,606,"(606, 606)"
matmul,"(256,1), (1,8192)",24.0,604,"(604, 604)"
matmul,"(256,1), (1,16384)",46.0,599,"(599, 599)"
matmul,"(256,1), (1,32768)",84.8,598,"(598, 598)"
matmul,"(256,1), (1,65536)",162.0,599,"(599, 599)"
matmul,"(256,1), (1,131072)",314.0,599,"(599, 599)"
matmul,"(256,1), (1,262144)",613.6,596,"(596, 596)"
matmul,"(256,1), (1,524288)",1259.6,597,"(597, 597)"
matmul,"(256,1), (1,1048576)",2513.4,581,"(581, 581, 581)"
matmul,"(256,1), (1,2097152)",5046.4,540,"(1080, 540, 540)"
matmul,"(512,1), (1,1)",4.0,606,"(606, 606)"
matmul,"(512,1), (1,2)",4.0,606,"(606, 606)"
matmul,"(512,1), (1,4)",4.0,606,"(606, 606)"
matmul,"(512,1), (1,8)",4.0,606,"(606, 606)"
matmul,"(512,1), (1,16)",4.0,606,"(606, 606)"
matmul,"(512,1), (1,32)",4.0,604,"(604, 604)"
matmul,"(512,1), (1,64)",4.0,608,"(608, 608)"
matmul,"(512,1), (1,128)",4.0,606,"(606, 606)"
matmul,"(512,1), (1,256)",4.0,606,"(606, 606)"
matmul,"(512,1), (1,512)",6.0,604,"(604, 604)"
matmul,"(512,1), (1,1024)",8.0,602,"(602, 602)"
matmul,"(512,1), (1,2048)",10.0,608,"(608, 608)"
matmul,"(512,1), (1,4096)",24.0,604,"(604, 604)"
matmul,"(512,1), (1,8192)",42.5,606,"(606, 606)"
matmul,"(512,1), (1,16384)",83.6,600,"(600, 600)"
matmul,"(512,1), (1,32768)",163.9,599,"(599, 599)"
matmul,"(512,1), (1,65536)",310.0,600,"(600, 600)"
matmul,"(512,1), (1,131072)",619.3,600,"(600, 600)"
matmul,"(512,1), (1,262144)",1227.1,599,"(599, 599)"
